Problem Size,Direct,Vector,Indirect
8388608,0.0000,9.3623,2.1629
16777216,0.0000,10.0825,1.9651
33554432,0.0000,10.4858,1.0639
67108864,0.0000,11.5482,1.2092
134217728,0.0000,11.8617,2.4352
268435456,0.0000,11.9974,1.3006
