Problem Size,Direct,Vector,Indirect
8388608,3355.4,2396.7,276.9
16777216,3495.3,2581.1,251.5
33554432,3459.2,2684.4,136.2
67108864,3513.6,2956.3,154.8
134217728,3513.6,3036.6,311.7
268435456,3513.6,3071.3,166.5
